accuracy,precision,recall,f1_score,log_loss,repetition
0.18768554511309024,0.18768554511309024,1.0,0.31604530784253737,1.1285417788534176,1
0.18932982335285145,0.18932982335285145,1.0,0.31836835388745605,1.1281524929137214,2
0.18994489002607884,0.18994489002607884,1.0,0.3192306138837466,1.1296173998117016,3
0.1893175220193869,0.1893175220193869,1.0,0.31836202022478355,1.127929842146553,4
0.18944053535403238,0.18944053535403238,1.0,0.3185280720910313,1.12717167785761,5
0.1910520100378881,0.1910520100378881,1.0,0.32080662198729665,1.1309705030067878,6
0.19017861536190522,0.19017861536190522,1.0,0.3195796855941305,1.1306191669181411,7
0.19015401269497612,0.19015401269497612,1.0,0.3195424067032966,1.1290102257728976,8
0.18963735668946516,0.18963735668946516,1.0,0.318811939180802,1.1314569823581269,9
0.18941593268710327,0.18941593268710327,1.0,0.318494052521254,1.130039308777997,10
